objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"16 Candies","376932","4","1","0","0","0","0","0","0","1","0","0","3","","","","","","128738913","5.50631","6.35469","1","22933","193","thing","16 Candies","2","4","30","30","15","2024","3,4","3","10+","","","","","","","standalone","","","","",""
"52 Realms: Adventures","432250","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","126848131","5.7097","7.53421","1.9091","5923","1030","thing","52 Realms: Adventures","1","1","20","20","10","2024","1","1","10+","","","","","","","standalone","","","","",""
"6 nimmt! 25 Jahre","268586","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","131580499","6.45735","7.26856","1.2462","1396","6622","thing","6 nimmt! 25 Jahre","2","10","45","45","45","2019","3,4,5,6,7,8","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders","68448","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","109757765","7.55495","7.66683","2.3147","111","151707","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders Duel","173346","7","0","0","0","0","0","0","0","1","0","0","3","","","","","","109720028","7.95759","8.08257","2.2268","21","176488","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders Duel: Pantheon","202976","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757809","7.62928","7.99959","2.3207","0","49477","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders: Architects","346703","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","133710706","6.76035","7.03529","1.3689","797","18336","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders: Architects – Medals","403217","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130779869","5.91619","7.78505","1.4167","0","2787","thing","7 Wonders: Architects – Medals","2","7","25","25","25","2024","2,3,4,5,6,7","4,5,6","","","","","","","","expansion","","","","",""
"7 Wonders: Babel","154638","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757771","6.34799","6.85228","2.6547","0","15095","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders: Cities","111661","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757767","7.36338","7.79991","2.3467","0","31563","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","","",""
